reunion;course;hippodrome;date;discipline;partants;nb_tickets;total_stake;total_optimized_stake;ev_sp;ev_global;roi_sp;roi_global;risk_of_ruin;clv_moyen;model;phase;status;reason
R1;C1;;;race_details;16;0;5.00;5.00;0;0;0;0;0;0;;H5;NO_PLAY_DATA_MISSING;DATA_MISSING
R1;C1;;;race_details;16;0;5.00;5.00;0;0;0;0;0;0;;H5;NO_PLAY_DATA_MISSING;DATA_MISSING
R1;C1;;;race_details;16;0;5.00;5.00;0;0;0;0;0;0;;H5;NO_PLAY_DATA_MISSING;DATA_MISSING
R1;C1;;;race_details;16;0;5.00;5.00;0;0;0;0;0;0;;H5;NO_PLAY_DATA_MISSING;DATA_MISSING
